query_id,model,prompt_tokens,completion_tokens,rerank_count,latency_ms,estimated_cost_usd
1,openai/gpt-5.4-mini,978,121,20,1546.79,0.001278
3,openai/gpt-4o-mini,924,62,20,2064.26,0.000176
5,openai/gpt-5.4-mini,1570,53,20,1091.44,0.001416
13,openai/gpt-4o-mini,1678,52,20,3717.19,0.000283
36,openai/gpt-4o-mini,1626,113,20,3125.81,0.000312
42,openai/gpt-4o-mini,1483,100,20,4602.67,0.000282
48,openai/gpt-5.4-mini,1512,142,20,1623.9,0.001773
49,openai/gpt-4o-mini,764,109,20,2580.75,0.00018
50,openai/gpt-4o-mini,734,45,20,1970.34,0.000137
51,openai/gpt-4o-mini,900,46,20,2022.83,0.000163
53,openai/gpt-4o-mini,1346,46,20,1736.02,0.000229
54,openai/gpt-4o-mini,994,94,20,2947.19,0.000206
56,openai/gpt-4o-mini,1132,113,20,2945.2,0.000238
57,openai/gpt-4o-mini,1211,98,20,3225.42,0.00024
70,openai/gpt-4o-mini,674,34,20,1730.65,0.000121
72,openai/gpt-5.4-mini,733,218,20,2100.37,0.001531
75,openai/gpt-5.4-mini,1198,96,20,1230.0,0.001331
94,openai/gpt-5.4-mini,1345,35,20,871.65,0.001166
99,openai/gpt-5.4-mini,1201,115,20,1283.07,0.001418
100,openai/gpt-4o-mini,897,123,20,3669.99,0.000208
113,openai/gpt-4o-mini,1538,98,20,3303.29,0.000289
115,openai/gpt-5.4-mini,1083,80,20,1247.24,0.001172
118,openai/gpt-4o-mini,852,76,20,2067.78,0.000173
124,openai/gpt-4o-mini,1706,92,20,3505.84,0.000311
127,openai/gpt-4o-mini,1066,43,20,1692.43,0.000186
128,openai/gpt-5.4-mini,1256,78,20,1219.04,0.001293
129,openai/gpt-4o-mini,2084,124,20,2721.84,0.000387
130,openai/gpt-4o-mini,2000,100,20,3120.32,0.00036
132,openai/gpt-4o-mini,1114,51,20,2978.59,0.000198
133,openai/gpt-5.4-mini,1061,168,20,2149.67,0.001552
137,openai/gpt-4o-mini,1326,103,20,2606.96,0.000261
141,openai/gpt-4o-mini,922,93,20,3022.08,0.000194
142,openai/gpt-4o-mini,1894,103,20,3240.2,0.000346
143,openai/gpt-4o-mini,1891,113,20,3858.65,0.000351
146,openai/gpt-4o-mini,1891,112,20,3389.46,0.000351
148,openai/gpt-4o-mini,684,90,20,2154.08,0.000157
163,openai/gpt-4o-mini,1224,116,20,2947.04,0.000253
171,openai/gpt-4o-mini,980,107,20,3425.96,0.000211
179,openai/gpt-4o-mini,1408,105,20,2311.36,0.000274
180,openai/gpt-4o-mini,1007,67,20,2062.56,0.000191
183,openai/gpt-4o-mini,735,117,20,3529.86,0.00018
185,openai/gpt-4o-mini,1107,115,20,3622.17,0.000235
198,openai/gpt-5.4-mini,1284,104,20,1567.8,0.001431
208,openai/gpt-4o-mini,930,115,20,3170.69,0.000208
212,openai/gpt-4o-mini,1037,117,20,2471.69,0.000226
213,openai/gpt-4o-mini,1435,203,20,4982.22,0.000337
216,openai/gpt-4o-mini,760,118,20,3284.07,0.000185
217,openai/gpt-4o-mini,834,108,20,2899.8,0.00019
218,openai/gpt-4o-mini,930,86,20,3046.45,0.000191
219,openai/gpt-4o-mini,945,126,20,3804.6,0.000217
