query_id,model,prompt_tokens,completion_tokens,rerank_count,latency_ms,estimated_cost_usd
1,openai/gpt-5.4-mini,4109,74,100,2250.36,0.003415
3,openai/gpt-5.4-mini,2416,170,100,2597.12,0.002577
5,openai/gpt-5.4-mini,4566,100,100,1922.75,0.003874
13,openai/gpt-5.4-mini,4922,149,100,2099.96,0.004362
36,openai/gpt-5.4-mini,4933,106,100,2068.32,0.004177
42,openai/gpt-5.4-mini,4655,123,100,2149.7,0.004045
48,openai/gpt-5.4-mini,3885,126,100,1888.81,0.003481
49,openai/gpt-5.4-mini,2918,86,100,1570.9,0.002576
50,openai/gpt-5.4-mini,2527,54,100,1572.79,0.002138
51,openai/gpt-5.4-mini,3733,63,100,2458.88,0.003083
53,openai/gpt-5.4-mini,3727,53,100,1577.16,0.003034
54,openai/gpt-5.4-mini,3050,147,100,2360.9,0.002949
56,openai/gpt-5.4-mini,3700,72,100,1509.58,0.003099
57,openai/gpt-5.4-mini,3896,117,100,2043.86,0.003449
70,openai/gpt-5.4-mini,2477,160,100,1922.55,0.002578
72,openai/gpt-5.4-mini,2972,193,100,2907.53,0.003097
75,openai/gpt-5.4-mini,4085,130,100,2141.67,0.003649
94,openai/gpt-5.4-mini,4001,34,100,1389.88,0.003154
99,openai/gpt-5.4-mini,3536,69,100,1548.56,0.002962
100,openai/gpt-5.4-mini,2487,51,100,1490.24,0.002095
113,openai/gpt-5.4-mini,4445,50,100,2793.21,0.003559
115,openai/gpt-5.4-mini,3512,63,100,1478.94,0.002917
118,openai/gpt-5.4-mini,3426,170,100,2133.74,0.003334
124,openai/gpt-5.4-mini,5477,95,100,1609.46,0.004535
127,openai/gpt-5.4-mini,3033,95,100,1744.54,0.002702
128,openai/gpt-5.4-mini,4000,70,100,1753.89,0.003315
129,openai/gpt-5.4-mini,4840,95,100,2075.83,0.004058
130,openai/gpt-5.4-mini,4840,88,100,1943.51,0.004026
132,openai/gpt-5.4-mini,3741,121,100,1805.01,0.00335
133,openai/gpt-5.4-mini,3784,152,100,2073.49,0.003522
137,openai/gpt-5.4-mini,4121,85,100,1636.18,0.003473
141,openai/gpt-5.4-mini,2920,106,100,1874.88,0.002667
142,openai/gpt-5.4-mini,4170,58,100,1778.27,0.003389
143,openai/gpt-5.4-mini,3903,124,100,4141.05,0.003485
146,openai/gpt-5.4-mini,4154,111,100,1918.91,0.003615
148,openai/gpt-5.4-mini,2945,77,100,1784.11,0.002555
163,openai/gpt-5.4-mini,3933,99,100,2154.22,0.003395
171,openai/gpt-5.4-mini,2977,171,100,1954.05,0.003002
179,openai/gpt-5.4-mini,4182,180,100,2370.43,0.003947
180,openai/gpt-5.4-mini,3533,154,100,3094.07,0.003343
183,openai/gpt-5.4-mini,2652,200,100,2594.48,0.002889
185,openai/gpt-5.4-mini,4432,83,100,1622.98,0.003697
198,openai/gpt-5.4-mini,4050,99,100,1659.6,0.003483
208,openai/gpt-5.4-mini,4070,145,100,2289.94,0.003705
212,openai/gpt-5.4-mini,3733,123,100,1915.51,0.003353
213,openai/gpt-5.4-mini,4735,160,100,3126.06,0.004271
216,openai/gpt-5.4-mini,3033,105,100,2008.58,0.002747
217,openai/gpt-5.4-mini,3428,62,100,1856.58,0.00285
218,openai/gpt-5.4-mini,3336,70,100,2042.19,0.002817
219,openai/gpt-5.4-mini,3283,104,100,2372.65,0.00293
