query_id,model,prompt_tokens,completion_tokens,rerank_count,latency_ms,estimated_cost_usd
1,openai/gpt-5.4-mini,1011,104,10,1554.69,0.001226
3,openai/gpt-5.4-nano,1042,159,10,1535.27,0.0
5,openai/gpt-5.4-mini,1999,53,10,1280.0,0.001738
13,openai/gpt-5.4-nano,2270,206,10,2307.8,0.0
36,openai/gpt-5.4-nano,2542,196,10,1674.52,0.0
42,openai/gpt-5.4-nano,2103,267,10,2247.74,0.0
48,openai/gpt-5.4-mini,2351,158,10,1756.23,0.002474
49,openai/gpt-5.4-nano,1421,59,10,1169.35,0.0
50,openai/gpt-5.4-nano,1165,38,10,845.61,0.0
51,openai/gpt-5.4-nano,1436,116,10,1311.15,0.0
53,openai/gpt-5.4-nano,1543,62,10,996.32,0.0
54,openai/gpt-5.4-nano,1515,192,10,1774.23,0.0
56,openai/gpt-5.4-nano,1922,239,10,2090.27,0.0
57,openai/gpt-5.4-nano,1923,239,10,1828.97,0.0
70,openai/gpt-5.4-nano,1035,169,10,1637.69,0.0
72,openai/gpt-5.4-mini,1289,154,10,2140.06,0.00166
75,openai/gpt-5.4-mini,1992,133,10,1413.87,0.002093
94,openai/gpt-5.4-mini,1714,48,10,1818.28,0.001502
99,openai/gpt-5.4-mini,1446,65,10,1080.19,0.001377
100,openai/gpt-5.4-nano,1126,57,10,976.36,0.0
113,openai/gpt-5.4-nano,2211,55,10,1247.23,0.0
115,openai/gpt-5.4-mini,1767,56,10,1123.92,0.001577
118,openai/gpt-5.4-nano,1591,179,10,1619.06,0.0
124,openai/gpt-5.4-nano,2402,121,10,1314.64,0.0
127,openai/gpt-5.4-nano,1578,199,10,1784.13,0.0
128,openai/gpt-5.4-mini,2212,68,10,1758.02,0.001965
129,openai/gpt-5.4-nano,3041,161,10,1565.44,0.0
130,openai/gpt-5.4-nano,3041,68,10,1049.77,0.0
132,openai/gpt-5.4-nano,1840,60,10,803.22,0.0
133,openai/gpt-5.4-mini,1779,159,10,1962.51,0.00205
137,openai/gpt-5.4-nano,1994,92,10,1545.86,0.0
141,openai/gpt-5.4-nano,1549,117,10,1154.13,0.0
142,openai/gpt-5.4-nano,1963,122,10,1372.08,0.0
143,openai/gpt-5.4-nano,1960,127,10,1261.46,0.0
146,openai/gpt-5.4-nano,2220,185,10,1775.82,0.0
148,openai/gpt-5.4-nano,1389,87,10,2965.46,0.0
163,openai/gpt-5.4-nano,1778,148,10,1451.41,0.0
171,openai/gpt-5.4-nano,1529,196,10,2125.1,0.0
179,openai/gpt-5.4-nano,2117,313,10,6304.04,0.0
180,openai/gpt-5.4-nano,1513,216,10,2191.13,0.0
183,openai/gpt-5.4-nano,1228,256,10,1844.54,0.0
185,openai/gpt-5.4-nano,1946,259,10,1917.36,0.0
198,openai/gpt-5.4-mini,1769,48,10,1238.99,0.001543
208,openai/gpt-5.4-nano,1815,258,10,2369.62,0.0
212,openai/gpt-5.4-nano,1707,131,10,1403.77,0.0
213,openai/gpt-5.4-nano,2378,200,10,2039.29,0.0
216,openai/gpt-5.4-nano,1309,119,10,1266.34,0.0
217,openai/gpt-5.4-nano,1308,63,10,1305.21,0.0
218,openai/gpt-5.4-nano,1731,128,10,1698.75,0.0
219,openai/gpt-5.4-nano,1505,210,10,2041.85,0.0
